Method,Ih,II,III,IV,VI,VII,VIII,IX,XI,XIII,XIV,XV,XVII
DMC,-616,-613,-603,-576,-597,-564,-582,-610,-614,-594,-598,-598,-598
B3LYP-D4,-653,-633,-626,-602,-608,-557,-570,-636,-655,-624,-618,-608,-643
B3LYP-D3(BJ)atm,-659,-641,-633,-610,-618,-570,-583,-643,-661,-632,-626,-617,-650
B3LYP-D3(BJ),-664,-648,-639,-617,-626,-579,-592,-649,-666,-639,-634,-625,-653
B3LYP-D3atm,-665,-664,-644,-631,-645,-621,-632,-657,-666,-653,-649,-644,-655
B3LYP-D3,-669,-670,-649,-638,-653,-630,-641,-663,-671,-660,-656,-652,-659
revPBE0-D4,-584,-560,-556,-530,-535,-486,-498,-564,-585,-550,-543,-535,-573
revPBE0-D3(BJ)atm,-590,-570,-565,-541,-548,-501,-515,-573,-591,-561,-555,-548,-579
revPBE0-D3(BJ),-594,-577,-570,-548,-556,-511,-524,-579,-596,-568,-563,-556,-583
revPBE0-D3atm,-591,-590,-568,-558,-574,-567,-578,-581,-592,-577,-574,-574,-582
revPBE0-D3,-595,-597,-574,-565,-582,-576,-587,-587,-596,-584,-581,-582,-585
PBE0-MBD,-675,-654,-648,-623,-629,-580,-592,-657,-678,-644,-638,-629,-664
PBE0-TS,-670,-665,-649,-635,-648,-434,-606,-661,-673,-657,-654,-647,-659
PBE0-D4,-667,-637,-637,-606,-609,-553,-565,-644,-670,-627,-619,-608,-656
PBE0-D3(BJ)atm,-670,-640,-641,-610,-613,-558,-571,-647,-673,-631,-623,-613,-660
PBE0-D3(BJ),-675,-647,-646,-617,-621,-568,-581,-653,-677,-638,-631,-620,-663
PBE0-D3atm,-682,-671,-657,-634,-642,-600,-611,-667,-685,-655,-649,-641,-672
PBE0-D3,-686,-671,-663,-641,-649,-609,-621,-673,-689,-662,-657,-648,-675
SCAN+rVV10,-710,-708,-692,-680,-696,-672,-684,-700,-715,-700,-699,-694,-701
optB88-vdW,-704,-703,-693,-680,-694,-658,-670,-703,-708,-701,-700,-693,-688
optB86b-vdW,-712,-704,-699,-681,-693,-651,-663,-707,-717,-701,-699,-691,-697
optPBE-vdW,-679,-681,-671,-661,-672,-635,-647,-683,-682,-681,-679,-672,-662
rev-vdW-DF2,-688,-666,-666,-641,-648,-600,-612,-672,-693,-661,-656,-646,-676
vdW-DF2,-616,-623,-605,-600,-613,-585,-599,-621,-616,-621,-620,-615,-602
vdW-DF,-555,-557,-548,-539,-547,-509,-523,-562,-555,-558,-556,-549,-537
revPBE-D4,-621,-585,-592,-560,-559,-504,-515,-594,-625,-577,-570,-559,-611
revPBE-D3(BJ)atm,-610,-580,-584,-555,-556,-500,-512,-588,-613,-573,-566,-556,-599
revPBE-D3(BJ),-614,-586,-590,-562,-564,-509,-521,-594,-618,-580,-574,-564,-602
revPBE-D3atm,-607,-592,-582,-563,-574,-559,-568,-589,-610,-581,-576,-573,-598
revPBE-D3,-612,-599,-588,-570,-582,-568,-578,-595,-614,-588,-583,-581,-601
PBE-MBD,-730,-697,-702,-670,-671,-610,-621,-706,-735,-691,-682,-669,-719
PBE-TS,-721,-702,-699,-677,-683,-610,-626,-705,-726,-698,-692,-681,-710
PBE-D4,-722,-679,-690,-653,-650,-583,-594,-692,-726,-672,-663,-649,-711
PBE-D3(BJ)atm,-725,-684,-694,-657,-655,-589,-601,-695,-730,-676,-667,-653,-715
PBE-D3(BJ),-729,-690,-699,-664,-663,-598,-610,-702,-734,-683,-675,-661,-718
PBE-D3atm,-729,-702,-704,-675,-678,-619,-631,-709,-734,-695,-688,-676,-719
PBE-D3,-734,-709,-710,-682,-686,-629,-640,-715,-739,-702,-695,-684,-723
