mol,Ne,Ne_mol,simcell,Nmol,Nscell,Nmolpcell,nome,DMC[4],DMC[2],DMC[1],DMC[0.5]
01CYHEXO,704,44,2x2x2,16.0,8,2.0,"1,4-cyclohexanedione",297,1984,23818,317584
02acetic_acid,576,24,1x3x2,24.0,6,4.0,Acetic Acid,64,433,5198,69307
03adamantane,896,56,2x2x2,16.0,8,2.0,Adamantane,650,4334,52013,693512
04ammonia,256,8,2x2x2,32.0,8,4.0,Ammonia,2,18,219,2925
05anthracene,264,66,1x2x1,4.0,2,2.0,Anthracene,309,2065,24791,330552
06benzene,960,30,2x2x2,32.0,8,4.0,Benzene,183,1221,14657,195439
07co2,512,16,2x2x2,32.0,8,4.0,CO2,24,160,1926,25689
08cyanamide,1024,16,2x2x2,64.0,8,8.0,Cyanamide,52,349,4198,55984
09cytosine,504,42,1x1x3,12.0,3,4.0,Cytosine,192,1285,15430,205738
10ethylcarbamate,576,36,2x2x2,16.0,8,2.0,Ethylcarbamate,156,1044,12528,167046
11formamide,864,18,3x2x2,48.0,12,4.0,Formamide,54,366,4395,58600
12imidazole,832,26,2x2x2,32.0,8,4.0,Imidazole,114,764,9178,122386
13naphtalene,768,48,2x2x2,16.0,8,2.0,Naphtalene,394,2627,31534,420464
14oxalic_acid_alpha,1088,34,2x2x2,32.0,8,4.0,Oxalic Acid Alpha,276,1845,22146,295291
15oxalic_acid_beta,816,34,2x2x3,24.0,12,2.0,Oxalic Acid Beta,199,1329,15952,212701
16pyrazine,720,30,2x2x3,24.0,12,2.0,Pyrazine,132,886,10636,141823
17pyrazole,832,26,2x1x2,32.0,4,8.0,Pyrazole,114,764,9178,122386
18triazine,720,30,1x2x2,24.0,4,6.0,Triazine,132,886,10636,141823
19trioxane,864,36,1x2x2,24.0,4,6.0,Trioxane,240,1601,19214,256190
20uracil,504,42,1x1x3,12.0,3,4.0,Uracil,192,1285,15430,205738
21urea,384,24,2x2x2,16.0,8,2.0,Urea,43,290,3481,46414
22Hexamine,448,56,1x1x1,8.0,1,8.0,Hexamine,328,2191,26293,350579
23Succinic_acid,368,46,1x1x1,8.0,1,8.0,Succinic Acid,177,1182,14195,189276
