# X23 MBE MRCC wall-time extraction
# Source: /zfs/scox_michaelides/michaelides/backup/benshi/Mol_Crys_Analysis/Data/24_05_18-X23_MBE
# Units: minutes
# Total output time is the first-to-last dated MRCC timestamp interval.
# Each (T) event is the next cumulative wall time minus the wall time immediately before its marker.
# LNO-CCSD is the full mrcc_1/mrcc_2 elapsed time minus summed (T).
# DETAIL
calculation	order	subcalculation	memory_gb	mrcc3_mp2_min	mrcc4_mp2_min	mrcc1_lno_ccsd_min	mrcc1_triples_min	mrcc1_triples_events	mrcc2_lno_ccsd_min	mrcc2_triples_min	mrcc2_triples_events	lno_ccsd_total_min	triples_total_min	normal_outputs	status
01	1mer	000	46	0.933333	7.266667	34.721000	26.079000	22	83.597000	72.353000	22	118.318000	98.432000	4	OK
01	1mer	001	46	0.966667	6.400000	34.902000	26.998000	22	85.778667	75.238000	22	120.680667	102.236000	4	OK
01	2mer	000001/0	46	6.200000	56.133333	157.226667	90.540000	44	369.396000	332.104000	44	526.622667	422.644000	4	OK
01	2mer	000001/1	46	2.650000	27.433333	51.364667	16.602000	22	81.912667	45.404000	22	133.277333	62.006000	4	OK
01	2mer	000001/2	46	2.633333	27.483333	51.484000	16.866000	22	82.283000	45.367000	22	133.767000	62.233000	4	OK
01	2mer	000002/0	46	6.316667	52.350000	154.054333	88.229000	44	358.775333	319.508000	44	512.829667	407.737000	4	OK
01	2mer	000002/1	46	2.616667	25.300000	47.582000	15.368000	22	75.435000	41.465000	22	123.017000	56.833000	4	OK
01	2mer	000002/2	46	2.616667	25.100000	47.469000	15.431000	22	75.612667	41.704000	22	123.081667	57.135000	4	OK
01	2mer	000003/0	46	6.216667	56.516667	129.304333	61.779000	44	301.299667	248.167000	44	430.604000	309.946000	4	OK
01	2mer	000003/1	46	2.633333	28.833333	49.726000	16.424000	22	84.287333	46.846000	22	134.013333	63.270000	4	OK
01	2mer	000003/2	46	2.600000	26.966667	49.908667	16.558000	22	83.814333	46.669000	22	133.723000	63.227000	4	OK
01	2mer	000004/0	46	6.283333	58.366667	125.584333	59.899000	44	296.732667	244.584000	44	422.317000	304.483000	4	OK
01	2mer	000004/1	46	2.633333	26.600000	49.145000	16.155000	22	83.249333	46.134000	22	132.394333	62.289000	4	OK
01	2mer	000004/2	46	2.616667	28.083333	51.483667	16.783000	22	83.239333	46.444000	22	134.723000	63.227000	4	OK
01	2mer	000005/0	46	6.050000	54.333333	134.763000	66.737000	44	311.374667	260.992000	44	446.137667	327.729000	4	OK
01	2mer	000005/1	46	2.500000	27.450000	51.977333	17.206000	22	83.171667	46.145000	22	135.149000	63.351000	4	OK
01	2mer	000005/2	46	2.550000	27.933333	52.026667	17.190000	22	82.815667	46.151000	22	134.842333	63.341000	4	OK
01	2mer	000006/0	46	6.116667	56.250000	134.173000	65.777000	44	306.515667	255.401000	44	440.688667	321.178000	4	OK
01	2mer	000006/1	46	2.566667	28.333333	52.538333	17.295000	22	82.196667	45.570000	22	134.735000	62.865000	4	OK
01	2mer	000006/2	46	2.466667	25.166667	52.346000	17.304000	22	80.202333	44.381000	22	132.548333	61.685000	4	OK
01	2mer	000007/0	46	6.016667	49.783333	100.299667	36.317000	44	192.521333	129.512000	44	292.821000	165.829000	4	OK
01	2mer	000007/1	46	2.583333	26.183333	46.506000	15.444000	22	81.663333	45.770000	22	128.169333	61.214000	4	OK
